iter	Accuracy	Logloss
0	0.761072127	0.6684486571
1	0.7688945128	0.644868546
2	0.7744161969	0.6247164311
3	0.7779822846	0.6079797991
4	0.7807431267	0.590164419
5	0.7829287933	0.5750352463
6	0.7824686529	0.5624439777
7	0.7833889336	0.5516152124
8	0.7845392845	0.5409402181
9	0.7891406879	0.5322205619
10	0.7893707581	0.5254318234
11	0.7915564247	0.5192224285
12	0.79190153	0.5132290658
13	0.7933969861	0.5076126969
14	0.7943172668	0.5022354197
15	0.7951225124	0.4975330211
16	0.7944323019	0.4919253689
17	0.7979983895	0.486081013
18	0.7962728632	0.4814198008
19	0.7968480387	0.4769602648
20	0.7962728632	0.4735587369
21	0.7974232141	0.4696621992
22	0.7986886	0.4674742059
23	0.7984585299	0.4640772382
24	0.7978833544	0.4607762818
25	0.7989186702	0.4584720688
26	0.8009893017	0.4551007061
27	0.801334407	0.4532123359
28	0.8028298631	0.4501763028
29	0.8038651789	0.4481687448
30	0.8034050385	0.4462531275
31	0.8037501438	0.4439838462
32	0.8037501438	0.4419976934
33	0.8047854596	0.4396335422
34	0.8051305648	0.4378808805
35	0.8050155297	0.4362690356
36	0.8047854596	0.4333107682
37	0.8051305648	0.431804821
38	0.8058207753	0.4302682613
39	0.8060508455	0.4291991182
40	0.8062809157	0.4279383284
41	0.8054756701	0.4266142886
42	0.8060508455	0.4251673011
43	0.8058207753	0.4242261619
44	0.8054756701	0.422932861
45	0.8049004947	0.4218530686
46	0.8055907052	0.4200432431
47	0.8069711262	0.4191072579
48	0.8078914069	0.4184518984
49	0.8078914069	0.4172939003
50	0.8083515472	0.4164842077
51	0.8072011964	0.4158310531
52	0.8076613367	0.4151980091
53	0.808006442	0.4139961272
54	0.8095018981	0.4134638604
55	0.8092718279	0.4123515757
56	0.8095018981	0.4116673616
57	0.8098470033	0.4104747286
58	0.8112274244	0.4094317125
59	0.8113424595	0.4087054944
60	0.8112274244	0.407822562
61	0.8123777752	0.4067183473
62	0.81203267	0.4059902601
63	0.8123777752	0.4053756498
64	0.8122627401	0.4048268725
65	0.81203267	0.4044149027
66	0.8124928103	0.403460799
67	0.8124928103	0.402909743
68	0.8127228805	0.4024509127
69	0.8135281261	0.4015478249
70	0.8135281261	0.4008234519
71	0.8137581962	0.4000694302
72	0.8137581962	0.3996995649
73	0.814793512	0.3990777755
74	0.8149085471	0.3982335019
75	0.8144484068	0.3978867897
76	0.8146784769	0.3968602577
77	0.8150235822	0.3962949362
78	0.8151386173	0.3959587122
79	0.8149085471	0.3956391288
80	0.814793512	0.3949379759
81	0.814793512	0.3946347017
82	0.8145634418	0.394284638
83	0.8144484068	0.3937900289
84	0.814793512	0.3932496567
85	0.8150235822	0.3926405946
86	0.8155987576	0.3922360222
87	0.8165190383	0.391735143
88	0.816058898	0.3912487923
89	0.816173933	0.3910881059
90	0.816173933	0.3907189233
91	0.816173933	0.3902833051
92	0.8169791786	0.3895873786
93	0.8172092488	0.3890337083
94	0.8169791786	0.3887983643
95	0.8169791786	0.3883205429
96	0.8169791786	0.3878241056
97	0.8178994593	0.3871203876
98	0.8181295295	0.3868885874
99	0.8187047049	0.3861894298
100	0.8185896698	0.3854777131
101	0.8195099505	0.3850360423
102	0.8193949154	0.3849556284
103	0.8195099505	0.3848742095
104	0.8193949154	0.3845771902
105	0.8190498102	0.3840624643
106	0.8190498102	0.3836776493
107	0.8191648453	0.3832354888
108	0.8195099505	0.3830020675
109	0.820200161	0.3825368419
110	0.8199700909	0.3823155498
111	0.8198550558	0.381862265
112	0.820085126	0.3809771398
113	0.820085126	0.3806892263
114	0.820200161	0.380425178
115	0.820085126	0.3801566619
116	0.8204302312	0.3798705319
117	0.820085126	0.3793669879
118	0.820200161	0.3789046332
119	0.8204302312	0.3784528592
120	0.8205452663	0.3781478722
121	0.8211204417	0.377844221
122	0.8208903716	0.3774350422
123	0.8211204417	0.3769996712
124	0.8210054066	0.3767439773
125	0.8213505119	0.3764714402
126	0.8215805821	0.376218434
127	0.821465547	0.3760524179
128	0.8215805821	0.3759063457
129	0.8211204417	0.3757914683
130	0.8211204417	0.3755410453
131	0.8210054066	0.3751701421
132	0.8215805821	0.3749754949
133	0.821465547	0.3746442217
134	0.8210054066	0.3743266431
135	0.8211204417	0.3741642827
136	0.8210054066	0.3740172511
137	0.8215805821	0.373708143
138	0.8219256873	0.3733858906
139	0.8218106522	0.3732520506
140	0.8219256873	0.3730498876
141	0.8220407224	0.3725893801
142	0.8220407224	0.3721332921
143	0.8220407224	0.3718397587
144	0.8215805821	0.3715473476
145	0.8220407224	0.3711057572
146	0.8223858277	0.3706706029
147	0.8226158978	0.3703960889
148	0.8229610031	0.3702126867
149	0.8226158978	0.3701838197
150	0.822845968	0.3697976256
151	0.8233061084	0.3695297772
152	0.8230760382	0.3691210045
153	0.8230760382	0.3689041885
154	0.8231910733	0.3687524786
155	0.8230760382	0.3686002951
156	0.8231910733	0.3682664269
157	0.8229610031	0.3681331511
158	0.8231910733	0.3676328686
159	0.8230760382	0.3672539568
160	0.8236512136	0.3671043273
161	0.8239963189	0.3670015608
162	0.824111354	0.3668210437
163	0.8243414241	0.3666990327
164	0.8244564592	0.3663624916
165	0.8246865294	0.3661736436
166	0.8248015645	0.3661592238
167	0.8252617048	0.3659744226
168	0.825491775	0.3657183932
169	0.825491775	0.3655059105
170	0.8258368802	0.3651715504
171	0.8256068101	0.3648099701
172	0.8256068101	0.3646297563
173	0.8262970206	0.3641474418
174	0.8259519153	0.3640247452
175	0.8259519153	0.3640196307
176	0.8260669504	0.3638069991
177	0.8265270908	0.3634223666
178	0.8266421258	0.3631941437
179	0.8266421258	0.3629840145
180	0.8262970206	0.3628246703
181	0.8264120557	0.3626071563
182	0.826872196	0.3624304311
183	0.826872196	0.3624027177
184	0.8269872311	0.3620690805
185	0.8275624065	0.3615931153
186	0.8277924767	0.3614160385
187	0.8276774416	0.3612024623
188	0.8280225469	0.3609262954
189	0.8279075118	0.3607328763
190	0.828137582	0.3604352397
191	0.8284826872	0.3600930874
192	0.8291728977	0.3597687445
193	0.8288277925	0.3593923466
194	0.8291728977	0.359180293
195	0.8290578626	0.3589358358
196	0.8289428276	0.3587259607
197	0.8290578626	0.3584455723
198	0.8288277925	0.3582187632
199	0.8292879328	0.3579948395
200	0.8290578626	0.3576257608
201	0.829518003	0.3576002839
202	0.829518003	0.357206588
203	0.8294029679	0.3568885062
204	0.8291728977	0.3567743139
205	0.8290578626	0.3565770675
206	0.8300931784	0.3562123191
207	0.8298631082	0.3558436312
208	0.830898424	0.3555202429
209	0.8313585644	0.3549076174
210	0.8315886345	0.3545123198
211	0.8314735994	0.3543030366
212	0.8315886345	0.3541651259
213	0.8319337398	0.3537962732
214	0.8318187047	0.3535160222
215	0.8320487749	0.3533745693
216	0.8319337398	0.353146579
217	0.8319337398	0.3531416654
218	0.8319337398	0.3528040675
219	0.8328540205	0.352451734
220	0.8327389854	0.3522916203
221	0.8328540205	0.3521246693
222	0.8328540205	0.3519086147
223	0.8333141608	0.3514678123
224	0.833544231	0.3511700135
225	0.8338893362	0.3508361145
226	0.8342344415	0.3506330731
227	0.8338893362	0.3503609794
228	0.8338893362	0.3503547219
229	0.8341194064	0.3501982461
230	0.8348096169	0.3497525446
231	0.8346945818	0.3495633718
232	0.8351547222	0.34931912
233	0.8352697573	0.3489942526
234	0.8356148625	0.3489024048
235	0.8359599678	0.3486580241
236	0.8365351432	0.3483420463
237	0.836190038	0.3481033752
238	0.8365351432	0.3477864322
239	0.836305073	0.3475803522
240	0.836305073	0.3475734453
241	0.8360750029	0.3472313845
242	0.836190038	0.3470085862
243	0.8360750029	0.3468141952
244	0.8360750029	0.3464578381
245	0.8364201081	0.3461006077
246	0.8373403888	0.345948245
247	0.8373403888	0.3457478909
248	0.8374554239	0.3456120755
249	0.8378005292	0.345459867
250	0.8379155642	0.3451246818
251	0.8380305993	0.3448734617
252	0.8381456344	0.3446232799
253	0.8381456344	0.3442792582
254	0.8384907397	0.3440881648
255	0.8386057748	0.3440175789
256	0.8379155642	0.3438376342
257	0.8380305993	0.3435315653
258	0.8384907397	0.343240405
259	0.8391809502	0.3429668365
260	0.8390659151	0.3427117179
261	0.8390659151	0.3424438319
262	0.8392959853	0.3422449177
263	0.8394110204	0.3420937943
264	0.8392959853	0.3418610075
265	0.8395260554	0.3417184357
266	0.8398711607	0.3413681331
267	0.8399861958	0.3412301294
268	0.8406764063	0.3410124419
269	0.8404463361	0.3408772575
270	0.8404463361	0.3407536107
271	0.8407914414	0.3403525467
272	0.8411365466	0.340161758
273	0.8414816519	0.3399674495
274	0.8417117221	0.3397484585
275	0.8414816519	0.3394660859
276	0.8421718624	0.3392720387
277	0.8421718624	0.339240649
278	0.8422868975	0.3389790434
279	0.8425169677	0.3388234654
280	0.8425169677	0.3385984323
281	0.8428620729	0.3382931351
282	0.8428620729	0.3380786591
283	0.8428620729	0.3380435543
284	0.8428620729	0.3380330279
285	0.8428620729	0.3378676942
286	0.842977108	0.3378523827
287	0.8427470378	0.3377074671
288	0.8426320028	0.3375838493
289	0.8432071782	0.3373073733
290	0.8433222133	0.3371642298
291	0.8430921431	0.3370876619
292	0.8436673185	0.3369587779
293	0.8448176694	0.3367229132
294	0.8449327045	0.3365415127
295	0.8450477396	0.3362381778
296	0.8450477396	0.3361377186
297	0.8449327045	0.3359280776
298	0.8447026343	0.335776307
299	0.8447026343	0.3355537479
300	0.8449327045	0.335477985
301	0.8448176694	0.3353877901
302	0.8451627746	0.3352919039
303	0.8458529852	0.3350346598
304	0.8457379501	0.3347494322
305	0.8457379501	0.3344840354
306	0.845622915	0.334404203
307	0.845622915	0.3343988417
308	0.845622915	0.3343716834
309	0.8453928448	0.33415552
310	0.8451627746	0.3339836886
311	0.8461980904	0.3337436071
312	0.8464281606	0.3335926664
313	0.8465431957	0.3331836839
314	0.8474634764	0.3327866086
315	0.8475785114	0.3326123107
316	0.8481536869	0.3322185588
317	0.8481536869	0.3322063072
318	0.848268722	0.3320484365
319	0.8481536869	0.331981609
320	0.8480386518	0.3318563921
321	0.8480386518	0.3316491334
322	0.8480386518	0.3315224099
323	0.848268722	0.3314246671
324	0.848268722	0.3311722774
325	0.8480386518	0.3310179884
326	0.8488438974	0.3308103099
327	0.848383757	0.3305642658
328	0.8491890026	0.3302466893
329	0.8490739676	0.3300958681
330	0.8491890026	0.3299552528
331	0.8494190728	0.3298713426
332	0.8497641781	0.3297108321
333	0.8497641781	0.3295359408
334	0.8498792132	0.3294497361
335	0.8499942482	0.3292254037
336	0.8499942482	0.3290195808
337	0.8498792132	0.328730431
338	0.849649143	0.3285611015
339	0.849649143	0.3283582479
340	0.8502243184	0.3279959275
341	0.8504543886	0.3277536867
342	0.8504543886	0.3277463062
343	0.8505694237	0.3273847062
344	0.8504543886	0.3272092636
345	0.8505694237	0.3270688586
346	0.8506844588	0.3270332227
347	0.8512596342	0.3269537666
348	0.8511445991	0.3267224991
349	0.8511445991	0.3264484586
350	0.8507994938	0.3262732306
351	0.8507994938	0.3261453939
352	0.8507994938	0.3260085166
353	0.8509145289	0.3258749016
354	0.8514897044	0.3254759866
355	0.8519498447	0.3251819867
356	0.8520648798	0.3250485209
357	0.8520648798	0.3250319549
358	0.8518348096	0.3248001491
359	0.8520648798	0.3246389406
360	0.8521799149	0.3245407886
361	0.852409985	0.3243958324
362	0.8527550903	0.3240821862
363	0.8527550903	0.3240382617
364	0.8529851605	0.3238883609
365	0.8527550903	0.3236741819
366	0.8526400552	0.323502977
367	0.8525250201	0.323442194
368	0.8526400552	0.3232978626
369	0.8527550903	0.3231329333
370	0.8528701254	0.322969086
371	0.853675371	0.3227574613
372	0.8535603359	0.3225754134
373	0.8535603359	0.3223652137
374	0.8535603359	0.3223516512
375	0.853675371	0.3221757897
376	0.8532152306	0.3220154714
