iter	Passed	Remaining
0	17	17590
1	32	16101
2	47	15758
3	62	15583
4	77	15374
5	91	15213
6	107	15197
7	121	15050
8	135	14963
9	149	14801
10	164	14780
11	179	14801
12	193	14690
13	208	14678
14	223	14666
15	238	14658
16	252	14623
17	267	14569
18	292	15121
19	327	16032
20	342	15978
21	356	15849
22	372	15835
23	388	15793
24	403	15726
25	416	15592
26	430	15505
27	445	15450
28	457	15328
29	472	15291
30	489	15285
31	503	15229
32	518	15183
33	533	15157
34	549	15160
35	566	15168
36	582	15159
37	596	15106
38	610	15051
39	625	15002
40	640	14971
41	653	14902
42	666	14838
43	680	14790
44	695	14767
45	709	14717
46	724	14691
47	739	14665
48	752	14598
49	766	14571
50	781	14545
51	796	14520
52	809	14469
53	821	14391
54	835	14349
55	850	14337
56	863	14290
57	879	14286
58	895	14282
59	910	14265
60	926	14255
61	941	14243
62	957	14237
63	971	14206
64	986	14194
65	1001	14170
66	1015	14136
67	1030	14127
68	1044	14099
69	1059	14081
70	1083	14181
71	1103	14225
72	1118	14202
73	1131	14157
74	1145	14126
75	1160	14104
76	1174	14078
77	1188	14043
78	1200	13995
79	1215	13974
80	1229	13947
81	1243	13915
82	1262	13943
83	1277	13926
84	1292	13910
85	1306	13884
86	1322	13877
87	1335	13841
88	1350	13821
89	1362	13779
90	1378	13770
91	1394	13764
92	1408	13736
93	1423	13720
94	1434	13664
95	1449	13646
96	1463	13619
97	1478	13608
98	1491	13576
99	1505	13552
100	1520	13533
101	1536	13525
102	1544	13449
103	1555	13401
104	1571	13396
105	1585	13373
106	1599	13348
107	1612	13315
108	1626	13299
109	1640	13273
110	1655	13255
111	1668	13225
112	1681	13202
113	1696	13181
114	1711	13167
115	1734	13214
116	1749	13206
117	1762	13173
118	1777	13159
119	1790	13131
120	1804	13106
121	1816	13075
122	1831	13059
123	1847	13048
124	1862	13037
125	1879	13039
126	1896	13034
127	1912	13032
128	1926	13009
129	1940	12987
130	1953	12959
131	1970	12960
132	1983	12928
133	1999	12922
134	2013	12901
135	2029	12890
136	2040	12851
137	2054	12832
138	2070	12823
139	2080	12778
140	2097	12778
141	2121	12817
142	2146	12862
143	2174	12928
144	2192	12928
145	2207	12909
146	2221	12892
147	2234	12865
148	2248	12843
149	2261	12813
150	2275	12796
151	2290	12776
152	2304	12755
153	2320	12749
154	2334	12729
155	2347	12701
156	2362	12687
157	2375	12659
158	2390	12644
159	2404	12624
160	2417	12600
161	2430	12572
162	2444	12552
163	2457	12527
164	2472	12512
165	2487	12496
166	2498	12463
167	2511	12438
168	2525	12420
169	2540	12403
170	2559	12407
171	2575	12398
172	2585	12361
173	2600	12343
174	2612	12315
175	2620	12270
176	2635	12253
177	2648	12232
178	2662	12211
179	2674	12185
180	2689	12168
181	2702	12147
182	2716	12129
183	2726	12090
184	2739	12070
185	2754	12056
186	2769	12040
187	2785	12031
188	2800	12014
189	2815	12003
190	2830	11990
191	2848	11987
192	2863	11974
193	2879	11964
194	2894	11948
195	2912	11948
196	2926	11929
197	2941	11913
198	2956	11901
199	2971	11887
200	2986	11870
201	2998	11846
202	3012	11827
203	3028	11815
204	3042	11800
205	3057	11782
206	3071	11766
207	3088	11761
208	3103	11746
209	3116	11724
210	3131	11709
211	3145	11693
212	3161	11682
213	3178	11674
214	3195	11667
215	3209	11650
216	3223	11632
217	3242	11630
218	3257	11616
219	3273	11605
220	3286	11583
221	3300	11566
222	3317	11558
223	3331	11542
224	3347	11530
225	3362	11514
226	3378	11504
227	3393	11491
228	3405	11466
229	3420	11451
230	3434	11434
231	3449	11418
232	3462	11399
233	3478	11386
234	3493	11370
235	3506	11352
236	3521	11336
237	3536	11323
238	3550	11306
239	3564	11287
240	3575	11261
241	3589	11244
242	3604	11229
243	3618	11211
244	3632	11192
245	3646	11176
246	3659	11156
247	3673	11140
248	3687	11122
249	3701	11103
250	3714	11085
251	3729	11071
252	3744	11056
253	3759	11040
254	3773	11023
255	3786	11003
256	3800	10988
257	3818	10980
258	3834	10970
259	3851	10962
260	3868	10952
261	3882	10937
262	3897	10922
263	3912	10908
264	3927	10893
265	3940	10874
266	3955	10858
267	3969	10840
268	3983	10826
269	3998	10812
270	4012	10793
271	4026	10776
272	4040	10759
273	4053	10741
274	4067	10723
275	4082	10709
276	4097	10696
277	4113	10683
278	4129	10670
279	4143	10655
280	4159	10644
281	4175	10630
282	4190	10617
283	4203	10597
284	4215	10575
285	4229	10557
286	4239	10533
287	4255	10520
288	4267	10499
289	4283	10486
290	4297	10469
291	4312	10456
292	4326	10439
293	4341	10425
294	4354	10407
295	4371	10396
296	4386	10381
297	4400	10367
298	4416	10354
299	4431	10339
300	4444	10321
301	4462	10314
302	4476	10298
303	4491	10283
304	4506	10268
305	4520	10252
306	4533	10234
307	4546	10213
308	4572	10225
309	4610	10261
310	4637	10273
311	4676	10312
312	4704	10325
313	4720	10312
314	4739	10307
315	4774	10334
316	4804	10351
317	4823	10345
318	4838	10328
319	4854	10315
320	4870	10303
321	4888	10292
322	4902	10274
323	4916	10258
324	4929	10238
325	4942	10218
326	4957	10203
327	4976	10196
328	4992	10181
329	5005	10161
330	5018	10142
331	5032	10124
332	5047	10110
333	5062	10093
334	5077	10079
335	5091	10061
336	5106	10045
337	5121	10030
338	5135	10013
339	5151	9999
340	5165	9981
341	5178	9962
342	5190	9942
343	5207	9929
344	5223	9916
345	5238	9901
346	5252	9885
347	5265	9864
348	5281	9851
349	5297	9837
350	5310	9819
351	5323	9800
352	5336	9781
353	5352	9768
354	5367	9752
355	5383	9739
356	5400	9726
357	5412	9705
358	5425	9687
359	5439	9670
360	5453	9652
361	5467	9636
362	5483	9622
363	5495	9602
364	5510	9586
365	5525	9571
366	5541	9558
367	5560	9549
368	5575	9534
369	5591	9520
370	5604	9502
371	5621	9489
372	5638	9477
373	5653	9463
374	5667	9446
375	5682	9430
376	5697	9414
377	5711	9397
378	5730	9390
379	5745	9374
380	5760	9359
381	5781	9353
382	5799	9342
383	5813	9325
384	5831	9315
385	5847	9301
386	5863	9287
387	5880	9274
388	5896	9262
389	5914	9251
390	5932	9240
391	5947	9224
392	5962	9209
393	5979	9196
394	5994	9181
395	6013	9172
396	6030	9159
397	6065	9174
398	6097	9184
399	6123	9184
400	6162	9205
401	6198	9220
402	6242	9247
403	6284	9270
404	6317	9281
405	6348	9288
406	6379	9294
407	6396	9281
408	6412	9266
409	6428	9251
410	6442	9232
411	6454	9212
412	6469	9195
413	6484	9178
414	6499	9162
415	6516	9148
416	6532	9133
417	6548	9117
418	6564	9102
419	6579	9085
420	6593	9068
421	6610	9053
422	6625	9037
423	6639	9019
424	6654	9002
425	6669	8985
426	6688	8975
427	6701	8955
428	6715	8938
429	6731	8922
430	6746	8906
431	6761	8889
432	6776	8873
433	6792	8858
434	6809	8844
435	6826	8830
436	6843	8816
437	6859	8801
438	6876	8787
439	6888	8767
440	6903	8751
441	6915	8730
442	6930	8714
443	6943	8694
444	6957	8677
445	6970	8658
446	6988	8646
447	7004	8630
448	7019	8613
449	7033	8596
450	7048	8580
451	7063	8563
452	7078	8547
453	7094	8531
454	7109	8515
455	7123	8498
456	7139	8483
457	7155	8468
458	7169	8450
459	7183	8433
460	7202	8421
461	7216	8403
462	7230	8386
463	7245	8370
464	7261	8355
465	7276	8338
466	7291	8322
467	7307	8306
468	7322	8290
469	7337	8274
470	7350	8256
471	7375	8250
472	7403	8248
473	7429	8244
474	7454	8238
475	7481	8235
476	7509	8234
477	7532	8225
478	7561	8224
479	7594	8226
480	7625	8227
481	7650	8222
